"indiv_id","weight_kg","X","duration","n.notes","low.freq","high.freq","note.rate","bandwidth.mean","bandwidth.sd","firstnotehighfreq","lasttnotehighfreq","sex","name"
"buffy",1.16,121,1.704347599,5,2940,3839.6,2.93367386026986,258.4,86.1,3620.1,3545.3,"F","buffy"
"buffy",1.16,122,3.690345374,8,3738.7,5438.2,2.16781877825401,301.4875,145.582047926835,4607.5,5438.2,"F","buffy"
"buffy",1.16,113,3.708492977,9,3715,5910.2,2.4268618157882,325.4,127.593406961332,4503,5797.6,"F","buffy"
"buffy",1.16,115,3.104181201,7,3547,4973.1,2.25502299857527,356.828571428571,126.079785774534,4205.2,4973.1,"F","buffy"
"buffy",1.16,116,3.492456302,8,3583.6,5448.5,2.29065142358938,323,136.176712924263,4205.2,5448.5,"F","buffy"
"buffy",1.16,117,2.557193735,6,3706.2,4717,2.34632203179553,373.233333333333,44.5134885924106,4392.4,4417.5,"F","buffy"
"buffy",1.16,118,3.09091298,7,3342.2,4601,2.26470303282365,332.214285714286,92.0781810668055,4036.7,4601,"F","buffy"
"chewie",1.2,151,4.674591364,11,3327.6,6449.4,2.35314686214356,305.390909090909,117.86500290201,4278.4,6275.1,"M","chewie"
"chewie",1.2,153,3.31425617,8,4680.6,6435.8,2.41381462073283,376.8125,102.303071277734,5156,6435.8,"M","chewie"
"chewie",1.2,154,3.35719545,8,3103.3,6329.2,2.3829413923458,398.375,129.707734652069,4165,6329.2,"M","chewie"
"chewie",1.2,152,3.110554793,7,2960.8,6428,2.25040240916277,393.771428571429,178.317541801937,3934.7,6428,"M","chewie"
"cristin",1.077,13,6.1247245,11,2312.1,5309.3,1.79599915065567,352.363636363636,156.256975989728,3552.8,5146.8,"F","cristin"
"cristin",1.077,14,5.164796487,10,2650.5,5244.6,1.93618471224769,275.63,97.7760826241946,3496.4,3891.2,"F","cristin"
"cristin",1.077,15,4.543824576,8,3158.1,5583,1.76063135057087,236.875,76.3194929228438,3665.6,5583,"F","cristin"
"daphne",0.973,267,1.227365591,3,3776.7,5855.6,2.44425949529491,430.666666666667,86.1500048365253,4712.2,5855.6,"F","daphne"
"daphne",0.973,262,2.132450244,6,3638.1,6479.2,2.81366471123159,861.333333333333,224.62103789865,5405.1,6479.2,"F","daphne"
"daphne",0.973,264,1.839860627,4,3846,6098.1,2.17407772159472,646.025,149.177687674799,4677.5,6098.1,"F","daphne"
"daphne",0.973,265,1.367058215,3,3776.7,6513.9,2.19449323158487,574.233333333333,276.886842109432,5162.6,6513.9,"F","daphne"
"daphne",0.973,266,1.534991957,4,4608.2,6652.5,2.60587684629803,602.9,210.982716511724,5543.7,6652.5,"F","daphne"
"daphne",0.973,263,2.019959686,5,3984.5,6444.6,2.47529692530705,482.34,216.184985602608,4573.6,6444.6,"F","daphne"
"galadriel",1.302,157,5.179871131,13,4302.4,6005.2,2.50971494680608,357.784615384615,98.5045248212305,5663,4890.8,"F","galadriel"
"galadriel",1.302,156,5.208651479,13,3821.7,9869.2,2.49584754372851,351.161538461538,162.898815928076,5775.5,5170.8,"F","galadriel"
"galadriel",1.302,155,8.886700118,12,3073.4,5748.7,1.35033250145282,387.591666666667,185.45360830497,5086.9,4722.5,"F","galadriel"
"galia",1.325,269,2.112613257,5,3694.5,5512.5,2.36673701797186,740.76,415.791784430621,4224.4,5512.5,"F","galia"
"galia",1.325,272,3.836833253,8,3481.3,5547.6,2.08505282155404,753.6625,282.87393425088,4138.2,4669.8,"F","galia"
"galia",1.325,270,2.210623196,5,3284,5395.2,2.26180563428775,568.5,248.162769165723,4252.5,5395.2,"F","galia"
"galia",1.325,268,2.450725114,6,3284,5277.9,2.44825499429717,732.116666666667,321.122097755148,4290.6,5277.9,"F","galia"
"galia",1.325,273,2.386062728,5,3511.1,5266.7,2.09550232746438,706.28,261.264678056564,4427.2,5266.7,"F","galia"
"galia",1.325,271,2.133484868,5,3870.5,5376.5,2.34358353086758,654.6,248.162769165723,4867.4,5376.5,"F","galia"
"gandalf",1.26,129,1.317181633,3,3665.6,5639.4,2.27759021598808,315.833333333333,248.607025913053,5019.1,5639.4,"M","gandalf"
"gandalf",1.26,128,2.369752596,5,3609.2,5639.4,2.10992489614304,223.96,77.0101811450927,4116.8,5639.4,"M","gandalf"
"gavin",1.45,134,2.8507571,7,3672.7,5162.6,2.45548805262995,455.257142857143,162.765361355366,4746.8,5162.6,"M","gavin"
"gavin",1.45,131,3.644619669,9,3748.5,4949,2.46939346690992,382.811111111111,122.652297618557,4679.5,4949,"M","gavin"
"gavin",1.45,133,2.908299031,7,3638.1,5231.9,2.40690517907063,418.342857142857,152.690022126997,4746.8,4850.8,"M","gavin"
"gavin",1.45,136,2.959180211,7,3603.4,5197.2,2.36552000921717,492.185714285714,177.337666882245,4816.1,5024,"M","gavin"
"gavin",1.45,130,6.652900279,17,3368.8,5096.5,2.55527653911495,329.341176470588,146.778728273307,4059.9,4448.6,"M","gavin"
"gavin",1.45,143,2.995483753,7,3603.4,5127.9,2.3368512658396,344.528571428571,157.242018496814,4573.6,4885.4,"M","gavin"
"gavin",1.45,139,2.932745003,7,3464.8,5405.1,2.38684235855469,430.671428571429,227.893679262105,4642.9,5405.1,"M","gavin"
"gavin",1.45,132,3.242239392,8,3773,4949,2.46743038769421,387.6,152.687336924654,4557,4900,"M","gavin"
"gavin",1.45,135,2.782439873,6,3049,5047,2.15638082900633,301.483333333333,105.4995244855,3984.5,5047,"M","gavin"
"gavin",1.45,142,2.435640018,6,3602.2,5268.9,2.46341822094335,330.166666666667,100.691859982159,4677.5,5170.3,"M","gavin"
"gavin",1.45,138,1.9614165,5,3638.1,5127.9,2.54917810674071,327.32,141.528467101145,4885.4,5127.9,"M","gavin"
"gavin",1.45,140,2.92426602,7,3568.8,5301.2,2.39376306810828,442.985714285714,201.571347406416,4781.5,5301.2,"M","gavin"
"gavin",1.45,137,2.967350353,7,3776.7,5335.8,2.35900691434127,369.142857142857,95.8503148515583,4850.8,5162.6,"M","gavin"
"gavin",1.45,141,3.671698492,8,3326.2,5197.2,2.1788281410989,409.1375,182.714710780808,4885.4,5024,"M","gavin"
"georgette",1.13,48,2.812409514,7,2996.7,4606.8,2.48896896598964,381.442857142857,147.987002325011,4383.2,4606.8,"F","georgette"
"georgette",1.13,46,4.247659345,10,3135.6,5113.8,2.35423775491111,404.82,115.203884965357,3683.4,5113.8,"F","georgette"
"georgette",1.13,47,5.252003919,12,3609.1,5246.2,2.28484216407151,344.525,137.407966720208,4181.1,4760.8,"F","georgette"
"georgette",1.13,45,3.871197263,10,3063.9,5173.5,2.58318016898226,344.55,176.983572684021,4118.7,4721.4,"F","georgette"
"gogo",1.08,224,1.139098524,3,4179.1,5531.2,2.63366156376479,373.233333333333,302.525128432885,5039.6,5531.2,"F","gogo"
"gogo",1.08,225,0.571326911,2,4876.8,5547.4,3.50062278092131,129.2,60.9526045382804,5145.1,5547.4,"F","gogo"
"gogo",1.08,223,1.605424068,4,4343,5695.1,2.49155352765024,279.95,163.033094799798,5080.5,5695.1,"F","gogo"
"gus",1.44,104,1.387440142,4,3344.1,5684.9,2.88300725841331,538.325,332.674379085616,5266.9,5559.5,"M","gus"
"gus",1.44,103,3.489571174,8,2675.3,5726.7,2.29254530172824,398.3625,165.607297436694,3887.5,5726.7,"M","gus"
"gus",1.44,102,2.740306579,7,3594.9,5935.7,2.55445870678983,283.028571428571,170.183437446046,4890.7,5935.7,"M","gus"
"gus",1.44,105,1.617101678,4,3260.5,5517.7,2.4735612203106,559.875,381.975238071789,5057.9,5517.7,"M","gus"
"gus",1.44,101,4.731439644,11,3009.7,5741,2.32487378634307,313.218181818182,140.342736314936,4598.1,5563.6,"M","gus"
"gus",1.44,100,3.801656892,10,3383.6,5634.4,2.6304320153256,284.24,81.7015462929966,4680.7,5471.9,"M","gus"
"hobbes",1.28,302,4.231062408,9,3463.4,4986.2,2.127125325068,296.677777777778,87.3068264481332,3982.9,4598.4,"M","hobbes"
"hobbes",1.28,301,3.637880355,8,3575.7,5318.6,2.19908276780037,462.975,229.922451212205,4117.4,5207.8,"M","hobbes"
"hobbes",1.28,300,0.834910707,3,2932.5,4285.9,3.59319861974174,401.966666666667,326.083798023351,4116.8,4285.9,"M","hobbes"
"jack",1.33,160,2.675822698,7,3035.1,5192.5,2.61601787189863,369.157142857143,81.9475006155945,3620.1,5192.5,"M","jack"
"jack",1.33,159,3.530658784,7,3437.3,5431.4,1.98263282527389,344.528571428571,99.4630201680624,4132.1,5431.4,"M","jack"
"jack",1.33,158,1.972471182,5,3327.6,5322.4,2.53489128035332,275.62,72.0364282845839,3985.8,5322.4,"M","jack"
"jill",1.1,171,0.537947439,2,4737.1,5244.6,3.71783534041511,172.3,0,5131.8,5244.6,"F","jill"
"jill",1.1,170,0.624648143,2,4567.9,5188.2,3.20180252260832,258.4,0,5131.8,5188.2,"F","jill"
"jill",1.1,169,1.78011331,5,3372.4,4605,2.80880996277703,602.94,243.615964173122,4342.3,4605,"F","jill"
"lani",0.88,294,1.060725395,3,5197.2,6756.4,2.82825320685379,574.2,49.7098581772268,6617.8,6756.4,"F","lani"
"lani",0.88,297,3.020319857,7,4067,6566,2.31763532719111,467.585714285714,139.405899308117,5292,6566,"F","lani"
"lani",0.88,292,2.658900406,7,4123.1,5890.2,2.63266724252025,467.6,109.607587936846,5405.1,5682.3,"F","lani"
"lani",0.88,295,2.39828506,6,4019.2,6132.7,2.50178767323014,358.9,126.783326979536,5231.9,6132.7,"F","lani"
"lani",0.88,296,2.161882451,5,4712.2,6306,2.31279919853515,447.9,112.302849474089,5509.1,6306,"F","lani"
"lani",0.88,293,2.864035043,7,3949.9,6375.3,2.44410417292509,455.271428571429,155.004566753002,4954.7,6375.3,"F","lani"
"leo",1.47,99,3.492075834,7,2706.9,4793.5,2.00453836994194,418.357142857143,115.864717913362,3778.4,4793.5,"M","leo"
"leo",1.47,98,4.881765885,9,2932.5,4624.3,1.8435951686364,363.677777777778,94.1462662267838,3891.2,4116.8,"M","leo"
"leo",1.47,96,4.2628975,9,2988.9,4793.5,2.11124006617565,401.955555555556,113.943693453292,4004,4793.5,"M","leo"
"leo",1.47,97,3.714284513,7,3158.1,4868.2,1.88461599414369,467.571428571429,221.603630492867,3891.2,4868.2,"M","leo"
"leo",1.47,95,4.42037597,9,2537.7,5075.4,2.03602590844778,516.788888888889,551.539353637717,3891.2,4342.3,"M","leo"
"mango",1.03,299,1.784160769,3,3329.3,5185,1.68146282113437,459.366666666667,179.287487944177,4202.6,5130.4,"M","mango"
"mango",1.03,298,1.255733246,3,3602.2,5567.1,2.38904242565542,775.2,310.535038280707,5294.2,5512.5,"M","mango"
"marjorine",1,106,2.674005057,7,3834.8,5498.3,2.6177960964118,492.171428571429,118.870696056481,4793.5,5498.3,"F","marjorine"
"marjorine",1,110,1.8478662,5,3947.6,5470.2,2.70582361428549,396.22,156.452459232829,5131.8,5470.2,"F","marjorine"
